rho,t_sweep,t_scaled,A_COM_MSD_mean,A_COM_MSD_sem,B_COM_MSD_mean,B_COM_MSD_sem,Full_COM_MSD_mean,Full_COM_MSD_sem
1.000000000000000000e+00,2.400000000000000000e+01,2.399999999999999790e-03,7.641718836389179703e-01,6.689950342894954247e-04,7.625661483392519591e-01,7.352787199671796409e-04,3.944524308783517452e-01,3.486956734533940656e-04
1.000000000000000000e+00,2.500000000000000000e+01,2.500000000000000052e-03,7.954442655394948769e-01,7.062847895456891931e-04,7.937260874857990922e-01,7.796482489967022445e-04,4.108686775918359291e-01,3.677135658170655992e-04
1.000000000000000000e+00,2.600000000000000000e+01,2.599999999999999881e-03,8.266973615438196754e-01,7.453305172505106466e-04,8.248622739246057600e-01,8.233989483256975170e-04,4.272836250908925160e-01,3.874131544099628692e-04
1.000000000000000000e+00,2.700000000000000000e+01,2.700000000000000143e-03,8.579085241210144819e-01,7.853348765399189354e-04,8.559601545571834391e-01,8.684762673565693623e-04,4.437008141369200853e-01,4.076402862714957327e-04
1.000000000000000000e+00,2.800000000000000000e+01,2.799999999999999972e-03,8.890970255258142663e-01,8.286013877433860003e-04,8.870147027801631445e-01,9.125021827585761075e-04,4.601151244247012606e-01,4.278166562909230535e-04
1.000000000000000000e+00,2.900000000000000000e+01,2.899999999999999800e-03,9.202627554136877386e-01,8.730797763345504855e-04,9.180320315145173993e-01,9.570492294748488091e-04,4.765291780623610585e-01,4.487362428861636364e-04
1.000000000000000000e+00,3.000000000000000000e+01,3.000000000000000062e-03,9.514080414184319379e-01,9.177979372846591013e-04,9.490261498535119689e-01,1.003339671171692453e-03,4.929488332944813589e-01,4.703204252845602095e-04
1.000000000000000000e+00,3.100000000000000000e+01,3.099999999999999891e-03,9.825154780602339821e-01,9.621450552969084075e-04,9.799649740059730441e-01,1.050837087623050737e-03,5.093617851633893689e-01,4.922037671841676242e-04
1.000000000000000000e+00,3.200000000000000000e+01,3.200000000000000153e-03,1.013588915281502745e+00,1.004903127276218994e-03,1.010865405579133736e+00,1.099410496160790071e-03,5.257730020166981877e-01,5.136575498053702225e-04
1.000000000000000000e+00,3.300000000000000000e+01,3.299999999999999982e-03,1.044643634462913528e+00,1.048835038081847703e-03,1.041726252012471043e+00,1.147804987689519897e-03,5.421821994208435580e-01,5.349252331136970795e-04
1.000000000000000000e+00,3.400000000000000000e+01,3.399999999999999811e-03,1.075674698153808784e+00,1.092348210436667371e-03,1.072549656444655941e+00,1.197019184480668927e-03,5.585915323191718018e-01,5.558675240777049891e-04
1.000000000000000000e+00,3.500000000000000000e+01,3.500000000000000073e-03,1.106674505660530272e+00,1.137133091963262984e-03,1.103346560587052272e+00,1.246204020340625990e-03,5.749999902334779200e-01,5.773666689825290421e-04
1.000000000000000000e+00,3.600000000000000000e+01,3.599999999999999901e-03,1.137648338863277431e+00,1.181591808750688663e-03,1.134124211663569914e+00,1.296352423272558894e-03,5.914069284012670735e-01,5.992838677149167799e-04
1.000000000000000000e+00,3.700000000000000000e+01,3.700000000000000164e-03,1.168593777850014170e+00,1.226548368917871126e-03,1.164863179187713538e+00,1.349707009822492332e-03,6.078062974515041628e-01,6.223676216673817161e-04
1.000000000000000000e+00,3.800000000000000000e+01,3.799999999999999992e-03,1.199502652464354169e+00,1.270747493456809941e-03,1.195584312581240649e+00,1.403588400029129931e-03,6.242084559515885811e-01,6.461927384558481969e-04
1.000000000000000000e+00,3.900000000000000000e+01,3.899999999999999821e-03,1.230391268050875508e+00,1.315293831554754890e-03,1.226271376559486370e+00,1.458834174795556283e-03,6.406125767640358237e-01,6.700550189134116567e-04
