rho,fit_scaled_min,fit_scaled_max,D_A_mean,D_A_sem,D_B_mean,D_B_sem,D_cm_mean,D_cm_sem
1.000000000000000000e+00,1.000000000000000048e-04,1.000000000000000056e-01,6.613793986175671262e-03,3.417504056493959495e-05,6.630323747523958131e-03,3.155605505869719235e-05,4.126688908237943071e-03,2.114680507402247274e-05
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+01,4.113597807381272169e-03,2.777536778137864844e-04,4.122376715218425795e-03,2.786962498915287372e-04,4.118181425201090755e-03,2.780040182118916742e-04
2.000000000000000000e+00,1.000000000000000048e-04,1.000000000000000056e-01,8.043757361820167914e-03,4.229066595661617030e-05,4.734254080838389174e-03,2.306184825522738962e-05,3.910152703490332900e-03,2.229911418215208357e-05
2.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+01,3.879505526661149260e-03,3.570378254097200015e-04,3.851621278402721400e-03,3.560724292186109321e-04,3.865531444109956884e-03,3.562823906676791707e-04
4.000000000000000000e+00,1.000000000000000048e-04,1.000000000000000056e-01,8.924720107132404212e-03,4.699810794856611477e-05,3.006720869261009579e-03,1.360090647577089693e-05,3.531855023127145141e-03,1.778211631158096206e-05
4.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01,3.038276332783208453e-03,3.518002433555947220e-04,3.027523999304109360e-03,3.513585835422807597e-04,3.031403814058752921e-03,3.512493232098617447e-04
